店號,店名,電話,地址
959122,豐安,02-27542996,台北市大安區東豐街9號
256519,大安復興,02-27016916,台北市大安區復興南路一段247號
155083,鑫復,02-27085803,台北市大安區信義路三段178號1樓
863698,豫銘,02-27540615,台北市大安區大安路二段102號
240031,合旺,02-27026159,台北市大安區復興南路二段151巷41號1樓
238533,合維,02-27077030,台北市大安區四維路170巷8號1樓
901293,立仁,02-27066660,台北市大安區安和路二段74巷1號
239732,臨江,02-27844961,台北市大安區安和路二段67號
251798,臨通,02-23258043,台北市大安區通安街64號1樓
273927,敦安,02-27081857,台北市大安區安和路一段86號
217271,延吉,02-27087348,台北市大安區延吉街237號
151335,仁和,02-87891891,台北市信義區正和里光復南路419巷41號
274160,建綸,02-27754237,台北市大安區仁愛路四段151巷33號忠孝東路四段216巷32弄19號21號
996154,鳳翔,02-87710411,台北市大安區忠孝東路四段216巷68號
274171,欣安和,02-87730039,台北市大安區安和路一段47號
274230,誠安,02-27112781,台北市大安區敦化南路一段247巷12號1樓
265155,靜安,02-27739618,台北市大安區光復南路262號
236973,鑫通,02-27018472,台北市大安區信義路四段294巷7號1樓
214858,通化,02-27083071,台北市大安區通化街26之8號
128058,技安,02-27375613,台北市大安區和平東路三段97號97之1號1樓
280969,敦禾,02-27322654,台北市大安區敦化南路二段265巷6號1樓
242668,和鑫,02-27326448,台北市大安區和平東路三段38號1樓
981901,宏泰,02-87804531,台北市信義區松仁路91-1號1樓
253130,後山埤,02-87857818,台北市信義區中坡北路11號1樓
121622,玉德,02-27863772,台北市南港區玉成街150號1樓
282367,新福玉,02-27853061,台北市南港區成福路145號147號
140210,中坡,02-27864543,台北市南港區中坡南路47號1樓
129350,黎元,02-23778253,台北市大安區辛亥路三段157巷32號1樓臥龍街188巷1號1樓
196316,和樂,02-27326014,台北市大安區和平東路三段228巷45號1樓
855572,和安,02-27355311,台北市大安區和平東路三段230號
281146,富陽,02-27373519,台北市大安區和平東路三段298號300號1樓
276638,麟光,02-27339761,台北市大安區臥龍街252號及252之1號
238289,中興,02-27586997,台北市信義區基隆路二段22號
170392,復昌,02-27076154,台北市大安區通化里光復南路616號
239248,欣隆昌,02-23782716,台北市大安區基隆路二段142之1號及142之2號
279671,華電,02-27329694,台北市大安區通化街177號
279235,三興,02-27335027,台北市信義區吳興街156巷2弄2號4號1樓
277251,松敬,02-27580763,台北市信義區吳興街11號1樓
195807,富比世,02-27202571,台北市信義區松仁路246號248號1樓
240569,總站,02-27585386,台北市信義區吳興街486號488號1樓
906564,松仁,02-27299057,台北市信義區松仁路213號
239455,北府,02-27586295,台北市信義區松仁路162號164號1樓
128036,新工農,02-23456634,台北市信義區忠孝東路五段236巷6-3號8號1樓
118970,松山,02-27229915,台北市信義區忠孝東路五段386號
264923,慶林,02-87864998,台北市信義區虎林街151號153號1樓
262961,捷忠,02-87856027,台北市信義區忠孝東路五段617號
253624,春光,02-27590205,台北市信義區大道路9號11號1樓
279486,信福,02-27273047,台北市信義區福德街308號310巷1號
235202,廣林,02-27590396,台北市信義區福德街84巷52號1樓
238360,德鄰,02-27272819,台北市信義區松德路127號129號1樓
281375,信德,02-23455160,台北市信義區松德路200巷10號
239411,凱富,02-23024836,台北市萬華區西園路一段278號1樓
283511,雙環,02-23361021,台北市萬華區環河南路二段207號
975951,華雙,02-23065408,台北市萬華區環河南路二段252號1樓環河南路二段250巷1號1樓
187781,華江,02-23088154,台北市萬華區環河南路二段200號1樓
281021,桂明,02-23892844,台北市萬華區桂林路55號
190927,漢陽,02-23310744,台北市萬華區昆明街197號199號1樓
149321,新起,02-23147269,台北市萬華區長沙街二段87號1樓
975663,世運,02-23753064,台北市萬華區昆明街81號83號
214397,新峨嵋,02-23704539,台北市萬華區峨嵋街111之2號之3號
243948,開寧,02-23884024,台北市萬華區西寧南路16號1樓及2樓18號1樓
119146,漢寧,02-23899050,台北市萬華區西寧南路85號
251400,西寧南,02-23831295,台北市萬華區西寧南路141號1樓2樓
197559,捷盟,02-23895672,台北市萬華區漢中街51號
996372,鑫武昌,02-23314737,台北市萬華區武昌街二段57號1樓
253897,慶陽,02-23707454,台北市中正區衡陽路93號1樓
202497,鑫衡陽,02-23316456,台北市中正區衡陽路6號1樓
282208,千成,02-23577481,台北市中正區林森南路4號之3
216865,杭信,02-23584603,台北市中正區信義路二段15號1樓
273189,大敦,02-27045633,台北市大安區敦化南路二段63巷7號1樓
241148,松鐵,02-27425950,台北市信義區松山路11號B1樓
258641,三井,02-26534946,台北市南港區經貿二路131號(B1-01300櫃位)
164803,東鑫,02-27196327,台北市松山區民生東路四段55巷10號
135643,松航,02-25454821,台北市松山區敦化北路340-9號
227658,藍天樓,02-25336042,台北市中山區北安路387號1樓
184472,墘運,02-87515031,台北市內湖區洲子街12號1樓
278438,長松,02-25045817,台北市中山區松江路65號
190330,必成,02-27640912,台北市信義區基隆路一段178號180號1樓
248873,北醫,02-27325119,台北市信義區吳興街252號
243052,西門站,02-23885130,台北市中正區寶慶路32之1號地下一樓(捷運西門站)
144326,港泰,02-26512992,台北市南港區忠孝東路七段359號1樓
257497,港麗,02-26518390,台北市南港區忠孝東路七段299號
197375,港捷,02-26519408,台北市南港區經貿二路1號
166843,港高鐵,02-26517743,台北市南港區南港路一段313號B2
166865,港環球,02-27839784,台北市南港區忠孝東路七段371號B2
248862,北車,02-23880571,台北市中正區忠孝西路一段49號地下1樓(13號14號15號販賣店)
213648,微風1,02-23142879,台北市中正區北平西路3號1樓
242107,讚前,02-23821142,台北市中正區忠孝西路一段50之1號地下街(8-2.8-3.8-4)
230609,和碩,02-28919409,台北市北投區立德路15號1樓
195438,華碩二,02-28973924,台北市北投區立德路115號3樓
258766,森光,02-23141016,台北市中正區忠孝西路一段47號B1(櫃號KB111)
234977,新和碩,02-28916241,台北市北投區立德路150之3號B1F
119582,新格蘭,02-23705929,台北市中正區衡陽路27號
239787,詠樂,02-25559848,台北市大同區迪化街一段13號全棟
957193,福捷,02-28839690,台北市士林區中正路235巷14號
185567,兒樂,02-28348349,台北市士林區承德路五段55號
281180,京復,02-27425644,台北市松山區光復北路11巷44號
273950,新國聯,02-27752026,台北市大安區光復南路180巷12號
265465,鑫忠孝,02-27754406,台北市大安區忠孝東路四段313號1樓
957285,吉忠,02-87725413,台北市大安區延吉街72號
232960,統領,02-87734754,台北市大安區忠孝東路四段223巷9號1樓
281858,鑫富民,02-27754172,台北市大安區忠孝東路四段181巷40弄22號1樓
282851,松錢,02-27658380,台北市信義區松隆路192號194號1樓
252975,永吉,02-27563192,台北市信義區永吉路217號1樓2樓及219號1樓
135241,永信,02-27469874,台北市信義區永吉路30巷103號
130132,敦厚,02-27677884,台北市信義區永吉路30巷168弄1號1樓
993041,松高,02-27670810,台北市信義區基隆路一段141號1樓
265454,隆合,02-29334229,台北市文山區羅斯福路五段218巷28號30號
248770,新萬隆,02-29353483,台北市文山區羅斯福路六段20號22號
261452,景捷,02-29316909,台北市文山區景福街252號
229610,滬江,02-29308537,台北市文山區羅斯福路六段270號
190042,羅斯福,02-29342178,台北市文山區羅斯福路五段216號
183572,華興,02-29371244,台北市文山區木柵路一段284號286號1樓
990053,新安康,02-29361151,台北市文山區木柵路二段88號90號1樓興隆路四段26號
189695,文忠,02-29379722,台北市文山區忠順街二段10號1樓
282909,文儀,02-86618765,台北市文山區木新路三段54號56號
211077,巨新,02-29373241,台北市文山區木新路二段212號及木新路二段218巷2號4號
119711,文山,02-29368284,台北市文山區永安街22巷23號25號1樓
855354,添恩,02-22343580,台北市文山區指南路三段8號10號
883544,金恩,02-86617034,台北市文山區指南路二段149號
216382,政新,02-29369304,台北市文山區新光路一段10號12號14號1樓及B1
230090,木鳴,02-29371077,台北市文山區木柵路三段115號117號1樓
273695,木盛,02-86611837,台北市文山區木柵路三段88號
855398,木柵,02-29371739,台北市文山區木柵路二段157號
250832,試院,02-22360262,台北市文山區木柵路一段139號141號
210225,鼎盛,02-89319433,台北市文山區景文街79號
240260,景興,02-29341840,台北市文山區景興路113號115號
199670,景華,02-29314829,台北市文山區興東里景華街130號1樓
174888,景高,02-89316863,台北市文山區景華里景興路14號
962346,仙岩,02-29335139,台北市文山區仙岩路18號18-118號18-2號1樓
236803,北福興,02-29350416,台北市文山區興旺里福興路20號
198286,興隆,02-29304721,台北市文山區興隆路二段205號207號1樓
127550,辛亥站,02-86639792,台北市文山區辛亥路四段132號
975054,興芳,02-22399843,台北市文山區興光里興隆路三段173、175號
885609,萬芳,02-22390910,台北市文山區萬安街23號、25號、27號1樓
165943,萬美,02-22398986,台北市文山區萬和街6號2樓之1
253347,博嘉,02-82300388,台北市文山區木柵路四段117號119號1樓
199290,文新,02-22349624,台北市文山區木新路三段276號
278265,羅鑫,02-33652502,台北市大安區羅斯福路三段29號31號1樓
237220,中愛,02-23415461,台北市中正區寧波東街17號1樓
171063,和金,02-23414965,台北市大安區和平東路一段91號
214571,和泰,02-23915933,台北市大安區和平東路一段169號
280176,溫東,02-23623019,台北市大安區和平東路一段266號
283256,龍門,02-23628467,台北市大安區和平東路二段38之1號40號1樓
894359,辛亥,02-23630291,台北市大安區辛亥路二段57號
239776,龍和,02-27017163,台北市大安區和平東路二段197號199號1樓
895020,建南,02-27549832,台北市大安區建國南路二段151巷6之8號
276731,昇隆,02-27328454,台北市大安區敦化南路二段238號
972594,長星,02-27395493,台北市大安區基隆路三段85號
216072,新忠誠,02-28314978,台北市士林區中山北路六段18號20號1樓
200929,誠義,02-28353013,台北市士林區忠誠路一段126號128號
187758,東洋,02-28753409,台北市士林區中山北路七段14巷19號Ｂ1
200815,天東,02-28734093,台北市士林區中山北路七段14巷2-1號
236962,天裕,02-28724419,台北市士林區中山北路七段156號1樓
210823,齊德,02-28745680,台北市士林區天母西路85號1樓2樓
265650,集鑫,02-28113784,台北市士林區延平北路六段229號231號
997571,聚鑫,02-88111492,台北市士林區延平北路六段350號350之1號1樓
276225,海光,02-28167812,台北市士林區延平北路五段35號37號39號
232719,福順,02-28136520,台北市士林區重慶北路四段177號1樓
891176,靜中,02-25529387,台北市大同區寧夏路71號73號
996523,篷萊,02-25539665,台北市大同區寧夏路131-1號
143677,長峰,02-25556859,台北市大同區長安西路45之2號47號1樓
996110,鑫大孝,02-23719010,台北市中正區黎明里重慶南路一段1-1號一樓
186157,大永博,02-23826912,台北市中正區博愛路97號1樓
214733,欣漢華,02-23613686,台北市中正區中華路一段41號1樓
214984,開懷,02-23617661,台北市中正區開封街一段15號17號1樓17號2樓
170299,開博,02-23119208,台北市中正區開封街一段40號42號1樓
251835,重南,02-23884895,台北市中正區武昌街一段1-2號1樓
263311,慶城,02-23719815,台北市中正區武昌街一段18號1樓
900474,萬翔,02-23757275,台北市中正區公園路13號
129095,寶昌,02-23045536,台北市萬華區寶興街184號186號
213844,萬華,02-23041593,台北市萬華區莒光路216號萬大路57號1樓
185279,新愛國,02-23710027,台北市中正區延平南路177號
184793,警廣,02-23717603,台北市中正區廣州街10-2號10-3號10-4部分號1樓
187057,鑫泉州,02-23054054,台北市中正區汀州路一段285號一樓
240411,同州,02-23677326,台北市中正區同安街62號1樓
253657,新文華,02-23658130,台北市中正區廈門街77號77之1號1樓
844860,晉江,02-23654771,台北市中正區和平西路一段26號
274089,羅亭,02-23929446,台北市中正區羅斯福路二段68號
252218,羅昌,02-23678289,台北市中正區南昌路二段206號1樓
190743,博源,02-23684419,台北市中正區思源街16號
283094,溫州,02-23626249,台北市大安區羅斯福路三段245號
263090,龍泉,02-23682936,台北市大安區羅斯福路三段193號1樓
276775,園寶,02-23037290,台北市萬華區西園路二段281巷29號1樓31號1樓33號1樓
238027,萬忠,02-23034250,台北市萬華區東園街28巷56號58號
279305,鑫寶,02-23057962,台北市萬華區寶興街 43號45號1樓
235556,鑽寶,02-23037525,台北市萬華區興義街41號.43號
166876,萬東,02-23379121,台北市萬華區萬大路486巷61號63號65號1樓
251020,大華,02-23390762,台北市萬華區萬大路495號497號
280958,國雙,02-23390812,台北市萬華區西藏路125巷17號及129-9號
282633,萬光,02-23021224,台北市中正區中華路二段157號
248909,中寧,02-23014902,台北市萬華區中華路二段602-1、602-2號1樓
118899,掬華,02-23375810,台北市中正區中華路二段405號407號
148052,青園,02-23012464,台北市萬華區青年路18號1樓
241311,克難,02-23379081,台北市萬華區萬青街168號
278494,古亭,02-23646532,台北市中正區汀州路二段210號
264266,龍延,02-23648913,台北市大安區師大路59巷13號
261957,瑞升,02-23435837,台北市大安區杭州南路二段91號
183309,鑫國語,02-23584429,台北市中正區南昌路一段135號1樓
275897,南昌,02-23971206,台北市中正區南昌路一段67號69號1樓
118420,鑫重寧,02-33225836,台北市中正區寧波西街86號1樓
135296,仁金,02-23583428,台北市中正區仁愛路二段39號39-1號
264875,濟新,02-33224217,台北市中正區濟南路二段50號
260851,統新,02-23944861,台北市中正區臨沂街27巷10號1樓
896067,統聯,02-23579051,台北市中正區忠孝東路二段130-2號130-3號
279109,新南,02-23435207,台北市中正區新生南路一段126-7號
175032,中廣,02-27526751,台北市大安區仁愛路三段25-1號27號
991584,威克,02-87738717,台北市中山區南京東路三段208號1樓
209100,京運,02-27716548,台北市松山區南京東路三段262號1樓
254926,建欣,02-25177302,台北市中山區建國北路二段13號1樓
164777,春龍,02-25021405,台北市中山區長春路257號
996741,元大,02-25148676,台北市中山區遼寧街110號1樓
235800,遼寧,02-25013476,台北市中山區遼寧街160號1樓
194572,復錦,02-25160812,台北市中山區復興北路348號1樓
241425,復北,02-27184351,台北市中山區復興北路164號1樓
254890,松慶,02-25450149,台北市松山區慶城街1號1樓
184782,復春,02-27151190,台北市松山區復興北路179號
241207,錢京,02-27177520,台北市松山區敦化北路100號1樓
280855,復吉,02-25451347,台北市松山區南京東路三段275號1樓
275727,東復,02-25472325,台北市松山區復興北路313巷25號
199267,敦化,02-87129627,台北市松山區民權東路三段160巷9號1樓
130394,吉林,02-25312934,台北市中山區吉林路209號1樓2樓
196660,大吉,02-25630883,台北市中山區吉林路97號99號1樓
242358,常榮,02-25000249,台北市中山區復興北路514巷39號41號1樓
956673,榮金,02-25013144,台北市中山區龍江路384巷1號384巷3號
239547,榮星,02-25094506,台北市中山區龍江路322號
255011,權東,02-25159982,台北市中山區民權東路三段71號73號1樓
250083,榮鑽,02-25179854,台北市中山區五常街23號25號民族東路410巷62號1樓
278933,豫鋒,02-28832762,台北市士林區大南路322號
266066,冬樂,02-28344625,台北市士林區美崙街114號
171764,福榮,02-28330676,台北市士林區中正路220號222號
148524,丹樺,02-28314649,台北市士林區文林路530號
896160,福芝,02-28358739,台北市士林區福國路94號
216119,芝山,02-28316143,台北市士林區福華路126號1樓
190592,德天,02-28344941,台北市士林區德行西路52號1樓
962209,新豪美,02-28233553,台北市北投區文林北路98號100號
216991,百齡,02-28219107,台北市北投區石牌路一段37號
874573,致遠,02-28208072,台北市北投區石牌路一段126號
283108,德致,02-28231984,台北市北投區明德路87號89號1樓
241403,明華,02-28262195,台北市北投區明德路99號
948649,明德,02-28220224,台北市北投區明德路114號
236984,懷得,02-28279042,台北市北投區懷德街85號1樓
282161,天富,02-28226934,台北市北投區富貴一路3號1樓
129372,天美,02-28762701,台北市士林區天母東路8巷96號98號
177463,天福,02-28762502,台北市士林區天福里天母東路８巷39號天母東路8巷41弄1號
174028,三玉,02-28744580,台北市士林區天母東路88之1號1樓
238382,延龍,02-25969446,台北市大同區延平北路四段16號18號1樓
143965,延民,02-25952932,台北市大同區民族西路246號248號1樓
264897,民族西,02-25954841,台北市大同區民族西路151號153號155號
962542,大龍,02-25947220,台北市大同區昌吉街72號74號76號及蘭州街135號
241399,權鑫,02-25995942,台北市大同區民權西路157之1號1樓
241861,涼州,02-25501438,台北市大同區延平北路二段258號
260840,慶寧,02-25569881,台北市大同區寧夏路23號23之1號
190938,延埕,02-25520267,台北市大同區延平北路二段159號161號
166049,慶吉,02-25954240,台北市大同區重慶北路三段47號49號1樓
992967,酒泉,02-25959849,台北市大同區重慶北路三段258、260、262號1樓
283544,哈蜜,02-25970450,台北市大同區重慶北路三段309、311號1樓
120526,圓泉,02-25997457,台北市大同區酒泉街25號27號1樓
153261,華齡,02-28835452,台北市士林區華齡街17巷2號4號1樓
216692,鑫港,02-28836276,台北市士林區後港街210號
195900,珍饌,02-28839937,台北市士林區文林路126號1樓
132574,新士林,02-28835732,台北市士林區大東路123號125號1樓
121127,承河,02-28817180,台北市士林區基河路132號1樓
253288,豐基,02-28344187,台北市士林區基河路368號370號
262927,稻江,02-25850268,台北市中山區新生北路三段35號農安街67號69號
956732,錦北,02-25418586,台北市中山區錦州街8號
200804,鑫德惠,02-25995347,台北市中山區德惠街15號1樓
239215,森吉,02-25958727,台北市中山區林森北路624號626號1樓
197227,瓏山林,02-26329723,台北市內湖區康樂街125巷2號2之1號
960535,輔大,02-29026304,新北市新莊區中正路516-1號
965220,輔明,02-29028207,新北市新莊區中正路514巷99號
194505,美福,02-29909254,新北市新莊區頭興街186號188號
910688,糧驛,02-22562936,新北市板橋區德翠里龍泉街93號、95號1樓
280316,智樂,02-29601143,新北市板橋區新生街89巷2號
243878,漢光,02-29653875,新北市板橋區光正街12號1樓
198910,新海,02-82525425,新北市板橋區文德里新海路138號
