店號,店名,縣巿,地址,電話
992967,酒泉,台北市,大同區重慶北路三段258、260、262號1樓,02-25959849
120526,圓泉,台北市,大同區酒泉街25號27號1樓,02-25997457
996523,篷萊,台北市,大同區寧夏路131-1號,02-25539665
260840,慶寧,台北市,大同區寧夏路23號23之1號,02-25569881
280213,信安,台北市,大安區大安路一段218號,02-27048829
241193,頂安,台北市,大安區大安路一段67號1樓,02-27787790
232454,敦南,台北市,大安區大安路一段83巷14號1樓,02-27115066
175032,中廣,台北市,大安區仁愛路三段25-1號27號,02-27526751
147141,敦信,台北市,大安區仁愛路四段122巷50號1樓,02-27556047
288804,仁安,台北市,大安區仁愛路四段29號,02-27789367
143253,頂好,台北市,大安區仁愛路四段79號1號,02-87714781
238533,合維,台北市,大安區四維路170巷8號1樓,02-27077030
273950,新國聯,台北市,大安區光復南路180巷12號,02-27752026
274171,欣安和,台北市,大安區安和路一段47號,02-87730039
273927,敦安,台北市,大安區安和路一段86號,02-27081857
238016,敦親,台北市,大安區辛亥路二段171巷8號,02-27366095
894359,辛亥,台北市,大安區辛亥路二段57號,02-23630291
129350,黎元,台北市,大安區辛亥路三段157巷32號1樓臥龍街188巷1號1樓,02-23778253
293600,青田,台北市,大安區和平東路一段141巷15.17號1樓,02-23918488
286750,和泰,台北市,大安區和平東路一段169號,02-23915933
280176,溫東,台北市,大安區和平東路一段266號,02-23623019
287384,龍淵,台北市,大安區和平東路二段118巷33號,02-27336247
283256,龍門,台北市,大安區和平東路二段38之1號40號1樓,02-23628467
234128,合億,台北市,大安區和平東路三段1巷51號1樓,02-27014931
196316,和樂,台北市,大安區和平東路三段228巷45號1樓,02-27326014
242668,和鑫,台北市,大安區和平東路三段38號1樓,02-27326448
217271,延吉,台北市,大安區延吉街237號,02-27087348
294289,吉忠,台北市,大安區延吉街72號,02-87725413
273846,懷生,台北市,大安區忠孝東路三段248巷9號,02-27811473
996154,鳳翔,台北市,大安區忠孝東路四段216巷68號,02-87710411
232960,統領,台北市,大安區忠孝東路四段223巷9號1樓,02-87734754
265465,鑫忠孝,台北市,大安區忠孝東路四段313號1樓,02-27754406
276638,麟光,台北市,大安區臥龍街252號及252之1號,02-27339761
167950,東門,台北市,大安區信義路二段198巷6號1樓,02-33224717
155083,鑫復,台北市,大安區信義路三段178號1樓,02-27085803
921633,大信,台北市,大安區信義路三段33號,02-27096471
285698,森美,台北市,大安區信義路三段65號1樓,02-27097500
959155,信中,台北市,大安區信義路三段99號1樓,02-27033810
236973,鑫通,台北市,大安區信義路四段294巷7號1樓,02-27018472
264266,龍延,台北市,大安區師大路59巷13號,02-23648913
265661,新泰順,台北市,大安區泰順街13號,02-23643011
232971,鑫泰,台北市,大安區泰順街60巷9號11號,02-23670195
972594,長星,台北市,大安區基隆路三段85號,02-27395493
214858,通化,台北市,大安區通化街26之8號,02-27083071
251798,臨通,台北市,大安區通安街64號1樓,02-23258043
186319,喜悅,台北市,大安區復興南路二段82-1及82-2號,02-27067601
282769,敦頂,台北市,大安區敦化南路一段190巷10號1樓,02-27796271
276731,昇隆,台北市,大安區敦化南路二段238號,02-27328454
273189,大敦,台北市,大安區敦化南路二段63巷7號1樓,02-27045633
201287,樂和,台北市,大安區樂利路29號29-1號,02-87323391
263090,龍泉,台北市,大安區羅斯福路三段193號1樓,02-23682936
283094,溫州,台北市,大安區羅斯福路三段245號,02-23626249
971867,鑫東一,台北市,中山區一江街11號13號,02-25815255
886059,東崙,台北市,中山區八德路二段282號,02-27754769
240019,晶鑽,台北市,中山區中山北路二段39巷8號1樓,02-25115092
228167,國賓,台北市,中山區中山北路二段71號1樓,02-25682463
288206,原中,台北市,中山區中原街132號,02-25931079
250083,榮鑽,台北市,中山區五常街23號25號民族東路410巷62號1樓,02-25179854
256623,中山天津,台北市,中山區天津街48.50號,02-25411889
170989,天津,台北市,中山區天津街65號,02-25434306
227658,藍天樓,台北市,中山區北安路387號1樓,02-25336042
929006,欣旺,台北市,中山區北安路602之1號1樓604號1樓606號1樓,02-25321290
185051,新大直,台北市,中山區北安路621巷48號,02-25329890
261865,松怡,台北市,中山區民權東路二段146號1樓,02-25171034
287133,福權,台北市,中山區民權東路二段96號98號1樓,02-25679782
255011,權東,台北市,中山區民權東路三段71號73號1樓,02-25159982
130394,吉林,台北市,中山區吉林路209號1樓2樓,02-25312934
255686,圓武,台北市,中山區吉林路24號之2一樓,02-25222464
928357,吉安,台北市,中山區吉林路365號367號農安街137號,02-25943806
196660,大吉,台北市,中山區吉林路97號99號1樓,02-25630883
278438,長松,台北市,中山區松江路65號,02-25045817
209904,森泰,台北市,中山區林森北路358號360號,02-25681096
217330,森華,台北市,中山區林森北路587號1樓,02-25952940
970749,鑫長安,台北市,中山區長安東路一段53巷1之3號,02-25813841
148133,鑫安江,台北市,中山區長安東路二段178號178-1號1樓,02-27774809
249337,長北,台北市,中山區長春路11號,02-25112677
186559,國學,台北市,中山區長春路182號,02-25068651
209719,京旺,台北市,中山區南京東路1段92號1樓,02-25239652
167260,吉鑫,台北市,中山區南京東路二段11號1樓,02-25420316
240754,國京,台北市,中山區南京東路三段21號1樓,02-25075809
243074,新寶,台北市,中山區建國北路一段156號一樓,02-25177446
254926,建欣,台北市,中山區建國北路二段13號1樓,02-25177302
951195,榮鑫,台北市,中山區建國北路三段89號91號1樓,02-25069116
241425,復北,台北市,中山區復興北路164號1樓,02-27184351
194572,復錦,台北市,中山區復興北路348號1樓,02-25160812
293437,常榮,台北市,中山區復興北路514巷39號41號1樓,02-25000249
277996,朱崙,台北市,中山區復興北路56號58號1樓,02-27523425
215943,明美,台北市,中山區敬業一路130號1樓,02-85011701
265775,樂明,台北市,中山區敬業一路56號,02-85015183
194077,萬濠,台北市,中山區敬業四路1號1樓,02-85029120
262927,稻江,台北市,中山區新生北路三段35號農安街67號69號,02-25850268
200804,鑫德惠,台北市,中山區德惠街15號1樓,02-25995347
214526,基河,台北市,中山區樂群二路206號1樓,02-85029131
235800,遼寧,台北市,中山區遼寧街160號1樓,02-25013476
287225,錦北,台北市,中山區錦州街8號,02-25418586
277435,新錦祥,台北市,中山區錦西街16號,02-25311037
263757,錦龍,台北市,中山區龍江路281-1號,02-25080595
289689,榮星,台北市,中山區龍江路324號1樓,02-25184635
956673,榮金,台北市,中山區龍江路384巷1號384巷3號,02-25013144
252481,德金,台北市,中正區八德路一段29號,02-23211677
214733,欣漢華,台北市,中正區中華路一段41號1樓,02-23613686
135296,仁金,台北市,中正區仁愛路二段39號39-1號,02-23583428
900474,萬翔,台北市,中正區公園路13號,02-23757275
268589,臺醫站,台北市,中正區公園路52號,02-23888707
199441,汀州,台北市,中正區汀州路一段127號129號,02-23098147
187057,鑫泉州,台北市,中正區汀州路一段285號一樓,02-23054054
240411,同州,台北市,中正區同安街62號1樓,02-23677326
185279,新愛國,台北市,中正區延平南路177號,02-23710027
258766,森光,台北市,中正區忠孝西路一段47號B1(櫃號KB111),02-23141016
248862,北車,台北市,中正區忠孝西路一段49號地下1樓(13號14號15號販賣店),02-23880571
874252,華山,台北市,中正區忠孝東路一段138號,02-23214407
252377,忠孝東,台北市,中正區忠孝東路一段72號76號1樓,02-23225861
972321,鑫杭,台北市,中正區杭州南路一段23號,02-23579224
282208,千成,台北市,中正區林森南路4號之3,02-23577481
251835,重南,台北市,中正區武昌街一段1-2號1樓,02-23884895
263311,慶城,台北市,中正區武昌街一段18號1樓,02-23719815
216865,杭信,台北市,中正區信義路二段15號1樓,02-23584603
252218,羅昌,台北市,中正區南昌路二段206號1樓,02-23678289
190743,博源,台北市,中正區思源街16號,02-23684419
256276,中正牯嶺,台北市,中正區牯嶺街138號1樓,02-23684831
236618,紹興,台北市,中正區紹興北街37號1樓,02-23224595
278748,興忠,台北市,中正區紹興北街3號1樓B1,02-33930882
170299,開博,台北市,中正區開封街一段40號42號1樓,02-23119208
253657,新文華,台北市,中正區廈門街77號77之1號1樓,02-23658130
249669,牯嶺,台北市,中正區廈門街99巷19-2號1樓,02-23686248
279109,新南,台北市,中正區新生南路一段126-7號,02-23435207
118420,鑫重寧,台北市,中正區寧波西街86號1樓,02-33225836
237220,中愛,台北市,中正區寧波東街17號1樓,02-23415461
210764,鑫華福,台北市,中正區漢口街一段36號1樓,02-23826193
184793,警廣,台北市,中正區廣州街10-2號10-3號10-4部分號1樓,02-23717603
277402,鑫台北,台北市,中正區黎明里忠孝西路一段35號一樓,02-23312768
996110,鑫大孝,台北市,中正區黎明里重慶南路一段1-1號一樓,02-23719010
119582,新格蘭,台北市,中正區衡陽路27號,02-23705929
264875,濟新,台北市,中正區濟南路二段50號,02-33224217
991850,長鴻,台北市,內湖區大湖山莊街219巷6號8號1樓,02-87910970
239695,達人,台北市,內湖區內湖路二段249號251號,02-27945695
277620,金龍,台北市,內湖區內湖路二段407號409號411號1樓,02-87917475
261810,鑫文德,台北市,內湖區文德路99號1樓,02-87977622
248666,民醫,台北市,內湖區民權東路六段123巷22號22之1號,02-87925605
250038,名寶,台北市,內湖區民權東路六段180巷17號19號,02-87914208
276410,權湖,台北市,內湖區民權東路六段212號1樓212之1號1樓,02-27933062
284031,欣福,台北市,內湖區成功路二段320巷60號,02-27941649
235051,鑫江南,台北市,內湖區江南街10號1樓,02-87513943
241942,行美,台北市,內湖區行善路191號193號,02-87914060
185888,彩龍,台北市,內湖區行善路35號1F,02-87902990
195704,金聯發,台北市,內湖區金龍路137號1樓,02-27941161
189400,星成,台北市,內湖區星雲街17號17-1號,02-27942674
286370,瑞東,台北市,內湖區洲子街102號1樓,02-87514830
283430,康雲,台北市,內湖區康寧路一段160號,02-27922754
234483,紫雲,台北市,內湖區康寧路一段263號265號1樓,02-27932947
275358,紫新,台北市,內湖區康寧路一段34號,02-27949151
283500,康寧,台北市,內湖區康寧路三段26巷1號,02-26328942
882792,晏揚,台北市,內湖區康寧路三段99巷14號康寧路三段99巷12弄2號,02-26345565
196464,港華,台北市,內湖區港華街46號1樓,02-27997851
252883,富港,台北市,內湖區港墘路46號48號1樓,02-87512984
284721,紫陽,台北市,內湖區紫陽里陽光街159號,02-87512875
952615,新潭美,台北市,內湖區新明路425號427號,02-27942796
201841,日內瓦,台北市,內湖區瑞光路76巷59號1樓,02-87912964
214179,瑞江,台北市,內湖區瑞陽里江南街71巷16弄76號,02-26587055
231864,環武,台北市,內湖區環山路一段8號1樓,02-26276830
183572,華興,台北市,文山區木柵路一段284號286號1樓,02-29371244
230090,木鳴,台北市,文山區木柵路三段115號117號1樓,02-29371077
273695,木盛,台北市,文山區木柵路三段88號,02-86611837
253347,博嘉,台北市,文山區木柵路四段117號119號1樓,02-82300388
211077,巨新,台北市,文山區木新路二段212號及木新路二段218巷2號4號,02-29373241
199290,文新,台北市,文山區木新路三段276號,02-22349624
260792,文一,台北市,文山區木新路三段351號353號1樓,02-29377616
119711,文山,台北市,文山區永安街22巷23號25號1樓,02-29368284
121068,新秀,台北市,文山區秀明路二段8號10號,02-29398096
285517,辛亥站,台北市,文山區辛亥路四段132號,02-86639792
189695,文忠,台北市,文山區忠順街二段10號1樓,02-29379722
113160,指南,台北市,文山區指南路一段34號36號1樓,02-29363203
253370,政大,台北市,文山區指南路二段99號101號,02-29362025
855354,添恩,台北市,文山區指南路三段8號10號,02-22343580
293275,景中,台北市,文山區景文里景文街96號98號,02-86637537
261452,景捷,台北市,文山區景福街252號,02-29316909
885609,萬芳,台北市,文山區萬安街23號、25號、27號1樓,02-22390910
285159,萬美,台北市,文山區萬和街6號2樓之1,02-22398986
236803,北福興,台北市,文山區興旺里福興路20號,02-29350416
190042,羅斯福,台北市,文山區羅斯福路五段216號,02-29342178
265454,隆合,台北市,文山區羅斯福路五段218巷28號30號,02-29334229
248770,新萬隆,台北市,文山區羅斯福路六段20號22號,02-29353483
229610,滬江,台北市,文山區羅斯福路六段270號,02-29308537
187286,西安,台北市,北投區大興街44號46號1樓,02-28949299
280589,薇閣,台北市,北投區中央北路一段108號,02-28944880
252942,復興崗,台北市,北投區中央北路二段68之2號68之3號,02-28949719
292962,一德,台北市,北投區中央北路四段513號,02-28984000
279811,北投奇岩,台北市,北投區中央南路二段31號1樓,02-28919349
239145,北投,台北市,北投區中和街222號,02-28941151
280534,金和,台北市,北投區中和街314號316號1樓,02-28919043
286277,秀山,台北市,北投區中和街476號478號480號1樓,02-28947141
962209,新豪美,台北市,北投區文林北路98號100號,02-28233553
293770,百齡,台北市,北投區石牌路一段37號,02-28219107
928531,振華,台北市,北投區石牌路二段80號82號,02-28218145
962483,石捷,台北市,北投區石牌路二段8號,02-28208526
236401,立陽,台北市,北投區立農街二段299號1樓,02-28213079
195438,華碩二,台北市,北投區立德路115號3樓,02-28973924
234977,新和碩,台北市,北投區立德路150之3號B1F,02-28916241
274780,光中,台北市,北投區光明路122號,02-28971043
230816,榮陽,台北市,北投區西安街一段345號1樓,02-28212601
167466,福瀛,台北市,北投區西安街二段345號1樓,02-28239491
948649,明德,台北市,北投區明德路114號,02-28220224
251477,泉源,台北市,北投區泉源路30號地下一樓,02-28975244
238625,加賀屋,台北市,北投區溫泉路73巷5號地下二樓之1,02-28941650
264130,商城,台北市,北投區裕民六路111號113號1樓,02-28218731
236984,懷得,台北市,北投區懷德街85號1樓,02-28279042
254317,清愿,台北市,松山區八德路二段439號,02-27729274
201302,台場,台北市,松山區八德路三段20-2號,02-25794824
263539,新饒河,台北市,松山區八德路四段697號1樓,02-27632434
188681,松民,台北市,松山區三民路10號,02-27480323
215758,朝福,台北市,松山區三民路115號,02-37652976
282910,民復,台北市,松山區民生東路五段10號1樓,02-27479963
235855,東榮,台北市,松山區民生東路五段71號1樓,02-37655187
164803,東鑫,台北市,松山區民生東路四段55巷10號,02-27196327
199267,敦化,台北市,松山區民權東路三段160巷9號1樓,02-87129627
281180,京復,台北市,松山區光復北路11巷44號,02-27425644
251352,鑫壽,台北市,松山區延壽街323號,02-27694858
173988,延壽,台北市,松山區延壽街422號,02-27622884
171421,統威,台北市,松山區東興路13-1號1樓15巷3號1樓,02-27481762
209100,京運,台北市,松山區南京東路三段262號1樓,02-27716548
280855,復吉,台北市,松山區南京東路三段275號1樓,02-25451347
260437,京萬,台北市,松山區南京東路三段331號1樓,02-27129359
264129,京興,台北市,松山區南京東路五段206號1樓,02-27489633
214803,新寶清,台北市,松山區南京東路五段334號336號1樓,02-27624852
262226,吉盛,台北市,松山區南京東路五段66巷3弄1號1樓,02-27479591
250359,健一,台北市,松山區健康路11號,02-25149369
184782,復春,台北市,松山區復興北路179號,02-27151190
275727,東復,台北市,松山區復興北路313巷25號,02-25472325
294290,樂得,台北市,松山區復興北路35號,02-27401886
241207,錢京,台北市,松山區敦化北路100號1樓,02-27177520
254649,敦北,台北市,松山區敦化北路149號1樓,02-25472052
135643,松航,台北市,松山區敦化北路340-9號,02-25454821
990352,松禾,台北市,松山區塔悠路31號33號,02-37651361
254890,松慶,台北市,松山區慶城街1號1樓,02-25450149
253624,春光,台北市,信義區大道路9號11號1樓,02-27590205
262444,信吉,台北市,信義區永吉路278巷58弄2號,02-27569832
135241,永信,台北市,信義區永吉路30巷103號,02-27469874
130132,敦厚,台北市,信義區永吉路30巷168弄1號1樓,02-27677884
261898,革新,台北市,信義區永吉路32號34號,02-27688917
277251,松敬,台北市,信義區吳興街11號1樓,02-27580763
285388,勤醫,台北市,信義區吳興街220巷33號,02-27327738
119478,醫學,台北市,信義區吳興街257號259號,02-87803729
164490,吳興,台北市,信義區吳興街284巷18弄2號,02-27388391
231163,鑫麟,台北市,信義區和平東路三段391巷22號24號1樓及地下室一樓,02-87327054
292825,松山,台北市,信義區忠孝東路五段386號,02-27229915
262961,捷忠,台北市,信義區忠孝東路五段617號,02-87856027
262019,忠隆,台北市,信義區忠孝東路五段71巷6號1樓,02-27654906
122186,總部,台北市,信義區東興路67號1樓,02-87874502
282563,松茂,台北市,信義區松山路11號(地下一層商業空間C2號),02-27478931
281870,開源,台北市,信義區松山路136號138號,02-27627486
284813,松仁,台北市,信義區松仁路213號,02-27299057
981901,宏泰,台北市,信義區松仁路91-1號1樓,02-87804531
282851,松錢,台北市,信義區松隆路192號194號1樓,02-27658380
238360,德鄰,台北市,信義區松德路127號129號1樓,02-27272819
264923,慶林,台北市,信義區虎林街151號153號1樓,02-87864998
993041,松高,台北市,信義區基隆路一段141號1樓,02-27670810
238289,中興,台北市,信義區基隆路二段22號,02-27586997
279877,福中,台北市,信義區福德街159號161號1樓,02-27266631
279475,留公,台北市,信義區福德街247號249號,02-27591442
293231,信福,台北市,信義區福德街308號310巷1號,02-27273047
235202,廣林,台北市,信義區福德街84巷52號1樓,02-27590396
243339,廣鳴,台北市,信義區福德街88號90號,02-27598850
135078,凱松,台北市,南港區八德路四段778號780號,02-27886050
140210,中坡,台北市,南港區中坡南路47號1樓,02-27864543
121622,玉德,台北市,南港區玉成街150號1樓,02-27863772
202420,玉成,台北市,南港區西新里南港路三段3號1樓,02-27852937
188326,雄強,台北市,南港區忠孝東路六段276號,02-26516017
264989,聯坊,台北市,南港區東新街118巷1號,02-27893915
289379,愿秀,台北市,南港區南港路二段1號,02-26535652
287580,鵬馳,台北市,南港區南港路三段49-1號,02-27833783
182753,玉港,台北市,南港區南港路三段8號10號,02-26534006
896458,耀港,台北市,南港區研究院路一段99號1樓之14,02-27881332
185822,研究,台北市,南港區研究院路二段14號,02-26511171
240237,庄研,台北市,南港區研究院路二段152號1樓,02-26539357
277387,胡適,台北市,南港區研究院路二段94號96號98巷1號,02-26512201
209269,重陽,台北市,南港區重陽路179號181號1樓,02-27834391
258641,三井,台北市,南港區經貿二路131號(B1-01300櫃位),02-26534946
138815,聯成,台北市,南港區聯成里昆陽街150-1號150-3號,02-27893542
269711,舊莊,台北市,南港區舊莊街一段81號83號,02-27838706
248909,中寧,台北市,萬華區中華路二段602-1、602-2號1樓,02-23014902
289140,紅樓,台北市,萬華區內江街43號1樓,02-23148050
286118,萬運,台北市,萬華區西園路一段153號地下室,02-23088704
239411,凱富,台北市,萬華區西園路一段278號1樓,02-23024836
276775,園寶,台北市,萬華區西園路二段281巷29號1樓31號1樓33號1樓,02-23037290
185833,昆寧,台北市,萬華區西寧南路50巷3號5號,02-23709656
119146,漢寧,台北市,萬華區西寧南路85號,02-23899050
190927,漢陽,台北市,萬華區昆明街197號199號1樓,02-23310744
280796,昆福,台北市,萬華區昆明街30-1號30-2號1樓,02-23717744
286299,世運,台北市,萬華區昆明街81號83號,02-23753064
252296,鑫樂昇,台北市,萬華區武昌街二段114之3號.之4號,02-23754357
996372,鑫武昌,台北市,萬華區武昌街二段57號1樓,02-23314737
149321,新起,台北市,萬華區長沙街二段87號1樓,02-23147269
148052,青園,台北市,萬華區青年路18號1樓,02-23012464
214397,新峨嵋,台北市,萬華區峨嵋街111之2號之3號,02-23704539
166876,萬東,台北市,萬華區萬大路486巷61號63號65號1樓,02-23379121
136406,六福,台北市,萬華區漢口街二段73號1樓,02-23311176
992130,漢中,台北市,萬華區漢中街185號187號,02-23120633
286749,鑽寶,台北市,萬華區興義街41號.43號,02-23037525
187781,華江,台北市,萬華區環河南路二段200號1樓,02-23088154
283511,雙環,台北市,萬華區環河南路二段207號,02-23361021
129095,寶昌,台北市,萬華區寶興街184號186號,02-23045536
165390,西雅圖,新北市,八里區中山路二段151號153號1樓,02-86305421
852230,益彰,新北市,八里區中山路二段409號411號,02-26102771
183491,海神,新北市,八里區中山路二段6號8號,02-86305062
242897,Fresh橋港,新北市,八里區商港八路1號1樓,02-26194572
238979,左岸,新北市,八里區龍米路二段230號之1號之2號1樓,02-26108502
207746,浩瀚,新北市,八里區龍形二街2-11號,02-26185995
195302,大立,新北市,三重區力行路一段184號186號1樓,02-29860146
189466,立福,新北市,三重區力行路一段60之1號60之2號1樓,02-29847213
275521,田豐,新北市,三重區三民街150.152號,02-29840325
237253,陡門頭,新北市,三重區三民街329號,02-29832749
235604,和洲,新北市,三重區三和路二段75號1樓,02-29762317
273765,荷運,新北市,三重區三和路四段97號.97之1.97之2號1樓,02-22809692
198954,重樂,新北市,三重區三信路196號1樓,02-28559436
252388,集吉,新北市,三重區三賢街61號63號1樓,02-28570294
212243,大心,新北市,三重區大同北路148巷2-1號1.2樓和2-2號,02-29882614
284802,大智,新北市,三重區大同北路63號,02-29836622
122773,重智,新北市,三重區大智街195號,02-29869556
258098,三重向榮,新北市,三重區大智街96號及長壽西街170號,02-29866041
283153,中央南,新北市,三重區中央南路39號41號,02-29764290
263333,日揚,新北市,三重區中正北路18之2號之3號之4號1樓,02-89852787
113539,虹諭,新北市,三重區中正北路193巷21弄43號,02-29848146
279888,三重中正北,新北市,三重區中正北路29之8號,02-29842537
294500,中南,新北市,三重區中正南路248-1號248-2號,02-29754553
279073,新洛華,新北市,三重區中華路113號115號,02-29844685
274997,興頂,新北市,三重區中興北街177號,02-29990814
147440,重華,新北市,三重區五華街181號185號1樓,02-28579451
263218,竑嘉,新北市,三重區仁愛街32號之1,02-29752331
294245,分子尾,新北市,三重區仁愛街479號479之1號,02-89857944
996969,天勝,新北市,三重區仁愛街687、689號1樓,02-28571747
276465,元富,新北市,三重區仁義街106、108、110號,02-29869074
189123,天台,新北市,三重區仁德里正義南路13號15號1樓,02-29771812
893873,文興,新北市,三重區文化南路7號,02-89727842
208473,義強,新北市,三重區正義北路131.133號,02-29813001
285931,長壽,新北市,三重區正義北路198號200號1樓,02-29817585
274296,正陽,新北市,三重區正義北路386號388號,02-29822396
275026,義北,新北市,三重區正義北路8號1樓,02-29812234
280888,三重一,新北市,三重區正義南路133號135號,02-29747875
282275,勇福,新北市,三重區永福街115、117號,02-82871465
179632,合康,新北市,三重區永福街179之1及179之2號1樓,02-22807405
214456,先嗇宮,新北市,三重區光復路一段25號27號1樓,02-29990523
231004,泰福,新北市,三重區安和路36、38號,02-29746401
236489,三松,新北市,三重區成功二街50號、52號,02-29742517
235589,成佳,新北市,三重區成功路145巷44、46號,02-29749063
832498,幸福,新北市,三重區自強路一段272號,02-29860690
159465,三好,新北市,三重區自強路四段102號104號1樓,02-89857653
888158,明益,新北市,三重區忠孝路三段61號,02-89882175
283360,長元,新北市,三重區長元街2-2號,02-29777863
173999,重安,新北市,三重區重安街60號及60-1號,02-29724075
262031,修德,新北市,三重區重陽路三段11號13號1樓,02-29874770
259138,捷新,新北市,三重區重新路四段91號91-1號,02-29745184
242082,凱盛,新北市,三重區捷運路19巷4弄19號1樓、2樓,02-29846594
279327,集美,新北市,三重區集美街107號,02-29772012
158945,美慈,新北市,三重區慈愛街52號,02-22860963
293091,前瞻,新北市,三重區新北大道二段258號,02-29996424
278715,慈佑,新北市,三重區溪尾街189號191號,02-89852194
281157,重富,新北市,三重區溪尾街321號323號1樓,02-28571641
279796,美圳,新北市,三重區過圳街14.16號1樓,02-29862234
264211,三田,新北市,三重區福田里三民街274號276號1樓,02-29897011
274517,環德,新北市,三重區福德南路38號1樓,02-29769304
294692,天龍,新北市,三重區龍門路217號219號221號,02-29775504
287007,龍濱,新北市,三重區龍濱路207號209號,02-29769472
252126,集成,新北市,三重區環河南路254巷43之1、43之2號,02-29701031
280109,歐洲,新北市,三峽區三樹路199號,02-26719429
230160,安溪,新北市,三峽區大同路188、190號,02-35012409
240905,峽太,新北市,三峽區大同路90號92號94號,02-86711944
